Week_Day,L1,L2,L3,L4,L5,L6
Sunday,,,,,,
Monday,KB,KB,KB,SB,,
Tuesday,SB,SB,SB,KB,,
Wednesday,SB,SB,SB,DN,SN,
Thursday,DN,DN,DN,SB,SB,
Friday,SB,SN,SN,SN,KB,
Saturday,DN,SN,,SB,SB,
