Week_Day,L1,L2,L3,L4,L5,L6
Sunday,,,,,,
Monday,SN,KB,DN,,,
Tuesday,KB,VC,NS,NS,,
Wednesday,DN,SN,NS,,,
Thursday,RY,KB,NS,NS,,
Friday,VC,DN,RY,,,
Saturday,RY,DN,KB,SN,,
